Unnamed: 0,name,mapped_data
49643,georgia heard county united states,",Heard County,Georgia,United States"
49644,georgia quitman county united states,",Quitman County,Georgia,United States"
49645,georgia glascock county united states,",Glascock County,Georgia,United States"
49646,georgia tattnall county united states,",Tattnall County,Georgia,United States"
49647,georgia wilkinson county united states,",Wilkinson County,Georgia,United States"
49648,georgia jones county united states,",Jones County,Georgia,United States"
49649,georgia greene county united states,",Greene County,Georgia,United States"
49650,georgia meriwether county united states,",Meriwether County,Georgia,United States"
49651,georgia effingham county united states,",Effingham County,Georgia,United States"
49652,georgia lowndes county united states,",Lowndes County,Georgia,United States"
