Unnamed: 0,name,mapped_data
15617,livingston county missouri,",Livingston County,Missouri,United States"
15618,clay county missouri,",Clay County,Missouri,United States"
15619,henry county missouri,",Henry County,Missouri,United States"
15620,benton county missouri,",Benton County,Missouri,United States"
15621,lafayette county missouri,",Lafayette County,Missouri,United States"
15622,saint charles county missouri,",Saint Charles County,Missouri,United States"
15623,andrew county missouri,",Andrew County,Missouri,United States"
15624,stone county missouri,",Stone County,Missouri,United States"
15625,pulaski county missouri,",Pulaski County,Missouri,United States"
15626,ripley county missouri,",Ripley County,Missouri,United States"
15627,cedar county missouri,",Cedar County,Missouri,United States"
15628,miller county missouri,",Miller County,Missouri,United States"
15629,lincoln county missouri,",Lincoln County,Missouri,United States"
15630,shannon county missouri,",Shannon County,Missouri,United States"
15631,howard county missouri,",Howard County,Missouri,United States"
15632,madison county missouri,",Madison County,Missouri,United States"
15633,callaway county missouri,",Callaway County,Missouri,United States"
15634,ozark county missouri,",Ozark County,Missouri,United States"
15635,daviess county missouri,",Daviess County,Missouri,United States"
15636,franklin county missouri,",Franklin County,Missouri,United States"
15637,new madrid county missouri,",New Madrid County,Missouri,United States"
15638,newton county missouri,",Newton County,Missouri,United States"
15639,dade county missouri,",Dade County,Missouri,United States"
15640,wayne county missouri,",Wayne County,Missouri,United States"
15641,caldwell county missouri,",Caldwell County,Missouri,United States"
15642,marion county missouri,",Marion County,Missouri,United States"
15643,wright county missouri,",Wright County,Missouri,United States"
15644,gasconade county missouri,",Gasconade County,Missouri,United States"
15645,hickory county missouri,",Hickory County,Missouri,United States"
15646,johnson county missouri,",Johnson County,Missouri,United States"
15647,randolph county missouri,",Randolph County,Missouri,United States"
15648,iron county missouri,",Iron County,Missouri,United States"
15649,cole county missouri,",Cole County,Missouri,United States"
15650,chariton county missouri,",Chariton County,Missouri,United States"
15651,pettis county missouri,",Pettis County,Missouri,United States"
15652,barton county missouri,",Barton County,Missouri,United States"
15653,laclede county missouri,",Laclede County,Missouri,United States"
15654,macon county missouri,",Macon County,Missouri,United States"
15655,bollinger county missouri,",Bollinger County,Missouri,United States"
15656,saline county missouri,",Saline County,Missouri,United States"
15657,webster county missouri,",Webster County,Missouri,United States"
15658,warren county missouri,",Warren County,Missouri,United States"
15659,dekalb county missouri,",DeKalb County,Missouri,United States"
15660,audrain county missouri,",Audrain County,Missouri,United States"
15661,montgomery county missouri,",Montgomery County,Missouri,United States"
15662,howell county missouri,",Howell County,Missouri,United States"
15663,vernon county missouri,",Vernon County,Missouri,United States"
15664,ralls county missouri,",Ralls County,Missouri,United States"
