Unnamed: 0,name,mapped_data
3509,lower king,"Lower King,Albany,Western Australia,Australia"
3510,yeppoon,"Yeppoon,Rockhampton,Queensland,Australia"
3511,yatala,"Yatala,Gold Coast,Queensland,Australia"
3512,yass,"Yass,Yass Valley,New South Wales,Australia"
3513,yarrawonga,"Yarrawonga,Moira,Victoria,Australia"
3514,yarraville,"Yarraville,Maribyrnong,Victoria,Australia"
3515,yarraman,"Yarraman,Toowoomba,Queensland,Australia"
3516,yarra junction,"Yarra Junction,Yarra Ranges,Victoria,Australia"
3517,yarra glen,"Yarra Glen,Yarra Ranges,Victoria,Australia"
3518,yandina,"Yandina,Sunshine Coast,Queensland,Australia"
3519,wynyard,"Wynyard,Waratah/Wynyard,Tasmania,Australia"
3520,wynnum,"Wynnum,Brisbane,Queensland,Australia"
3521,worrolong,"Worrolong,Grant,South Australia,Australia"
3522,woree,"Woree,Cairns,Queensland,Australia"
3523,woori yallock,"Woori Yallock,Yarra Ranges,Victoria,Australia"
3524,woorim,"Woorim,Moreton Bay,Queensland,Australia"
3525,woombye,"Woombye,Sunshine Coast,Queensland,Australia"
3526,woolgoolga,"Woolgoolga,Coffs Harbour,New South Wales,Australia"
3527,woodford,"Woodford,Moreton Bay,Queensland,Australia"
3528,wondai,"Wondai,South Burnett,Queensland,Australia"
3529,wodonga,"Wodonga,Wodonga,Victoria,Australia"
3530,windaroo,"Windaroo,Logan,Queensland,Australia"
3531,west wyalong,"West Wyalong,Bland,New South Wales,Australia"
3532,westcourt,"Westcourt,Western Downs,Queensland,Australia"
3533,werribee,"Werribee,Wyndham,Victoria,Australia"
3534,wellington point,"Wellington Point,Redland,Queensland,Australia"
3535,weipa,"Weipa,Cook,Queensland,Australia"
3536,wattleglen,"Wattleglen,Nillumbik,Victoria,Australia"
3537,watsonia,"Watsonia, ,Victoria,Australia"
3538,warrnambool,"Warrnambool,Warrnambool,Victoria,Australia"
3539,warrane,"Warrane,Clarence,Tasmania,Australia"
3540,warrandyte,"Warrandyte,Manningham,Victoria,Australia"
3541,warragul,"Warragul,Baw Baw,Victoria,Australia"
