Unnamed: 0,name,mapped_data
13306,frontier county united states,",Frontier County,Nebraska,United States"
13307,hitchcock county united states,",Hitchcock County,Nebraska,United States"
13308,cherry county united states,",Cherry County,Nebraska,United States"
13309,lander county united states,",Lander County,Nevada,United States"
13310,elko county united states,",Elko County,Nevada,United States"
13311,pershing county united states,",Pershing County,Nevada,United States"
13312,klamath county united states,",Klamath County,Oregon,United States"
13313,yamhill county united states,",Yamhill County,Oregon,United States"
13314,clatsop county united states,",Clatsop County,Oregon,United States"
13315,umatilla county united states,",Umatilla County,Oregon,United States"
13316,tillamook county united states,",Tillamook County,Oregon,United States"
13317,clackamas county united states,",Clackamas County,Oregon,United States"
13318,deschutes county united states,",Deschutes County,Oregon,United States"
13319,harney county united states,",Harney County,Oregon,United States"
13320,hood river county united states,",Hood River County,Oregon,United States"
13321,josephine county united states,",Josephine County,Oregon,United States"
13322,wasco county united states,",Wasco County,Oregon,United States"
13323,gilliam county united states,",Gilliam County,Oregon,United States"
13324,wallowa county united states,",Wallowa County,Oregon,United States"
13325,multnomah county united states,",Multnomah County,Oregon,United States"
13326,malheur county united states,",Malheur County,Oregon,United States"
13327,crook county united states,",Crook County,Oregon,United States"
13328,ziebach county united states,",Ziebach County,South Dakota,United States"
13329,stanley county united states,",Stanley County,South Dakota,United States"
13330,fall river county united states,",Fall River County,South Dakota,United States"
13331,bennett county united states,",Bennett County,South Dakota,United States"
13332,corson county united states,",Corson County,South Dakota,United States"
13333,sully county united states,",Sully County,South Dakota,United States"
13334,haakon county united states,",Haakon County,South Dakota,United States"
13335,mellette county united states,",Mellette County,South Dakota,United States"
13336,box elder county united states,",Box Elder County,Utah,United States"
13337,duchesne county united states,",Duchesne County,Utah,United States"
13338,tooele county united states,",Tooele County,Utah,United States"
13339,weber county united states,",Weber County,Utah,United States"
13340,wasatch county united states,",Wasatch County,Utah,United States"
13341,uintah county united states,",Uintah County,Utah,United States"
13342,daggett county united states,",Daggett County,Utah,United States"
13343,rich county united states,",Rich County,Utah,United States"
13344,grays harbor county united states,",Grays Harbor County,Washington,United States"
13345,yakima county united states,",Yakima County,Washington,United States"
13346,spokane county united states,",Spokane County,Washington,United States"
13347,snohomish county united states,",Snohomish County,Washington,United States"
13348,skagit county united states,",Skagit County,Washington,United States"
13349,asotin county united states,",Asotin County,Washington,United States"
13350,whatcom county united states,",Whatcom County,Washington,United States"
13351,kitsap county united states,",Kitsap County,Washington,United States"
13352,okanogan county united states,",Okanogan County,Washington,United States"
13353,walla walla county united states,",Walla Walla County,Washington,United States"
13354,island county united states,",Island County,Washington,United States"
13355,skamania county united states,",Skamania County,Washington,United States"
13356,chelan county united states,",Chelan County,Washington,United States"
13357,cowlitz county united states,",Cowlitz County,Washington,United States"
13358,wahkiakum county united states,",Wahkiakum County,Washington,United States"
13359,kittitas county united states,",Kittitas County,Washington,United States"
13360,whitman county united states,",Whitman County,Washington,United States"
13361,klickitat county united states,",Klickitat County,Washington,United States"
13362,clallam county united states,",Clallam County,Washington,United States"
13363,pacific county united states,",Pacific County,Washington,United States"
13364,pend oreille county united states,",Pend Oreille County,Washington,United States"
13365,ferry county united states,",Ferry County,Washington,United States"
13366,natrona county united states,",Natrona County,Wyoming,United States"
13367,laramie county united states,",Laramie County,Wyoming,United States"
13368,converse county united states,",Converse County,Wyoming,United States"
13369,uinta county united states,",Uinta County,Wyoming,United States"
13370,sweetwater county united states,",Sweetwater County,Wyoming,United States"
13371,niobrara county united states,",Niobrara County,Wyoming,United States"
13372,sublette county united states,",Sublette County,Wyoming,United States"
13373,weston county united states,",Weston County,Wyoming,United States"
13374,hot springs county united states,",Hot Springs County,Wyoming,United States"
13375,goshen county united states,",Goshen County,Wyoming,United States"
13376,washakie county united states,",Washakie County,Wyoming,United States"
13377,haines borough united states,",Haines Borough,Alaska,United States"
13378,honolulu county united states,",Honolulu County,Hawaii,United States"
13379,maui county united states,",Maui County,Hawaii,United States"
13380,hawaii county united states,",Hawaii County,Hawaii,United States"
13381,kauai county united states,",Kauai County,Hawaii,United States"
13382,matanuska-susitna borough united states,",Matanuska-Susitna Borough,Alaska,United States"
13383,kenai peninsula borough united states,",Kenai Peninsula Borough,Alaska,United States"
13384,fairbanks north star borough united states,",Fairbanks North Star Borough,Alaska,United States"
13385,valdez-cordova census area united states,",Valdez-Cordova Census Area,Alaska,United States"
13386,dillingham census area united states,",Dillingham Census Area,Alaska,United States"
13387,aleutians west census area united states,",Aleutians West Census Area,Alaska,United States"
13388,anchorage municipality united states,",Anchorage Municipality,Alaska,United States"
13389,denali borough united states,",Denali Borough,Alaska,United States"
13390,wade hampton census area united states,",Wade Hampton Census Area,Alaska,United States"
13391,kodiak island borough united states,",Kodiak Island Borough,Alaska,United States"
13392,northwest arctic borough united states,",Northwest Arctic Borough,Alaska,United States"
13393,nome census area united states,",Nome Census Area,Alaska,United States"
13394,north slope borough united states,",North Slope Borough,Alaska,United States"
13395,aleutians east borough united states,",Aleutians East Borough,Alaska,United States"
13396,southeast fairbanks census area united states,",Southeast Fairbanks Census Area,Alaska,United States"
13397,bethel census area united states,",Bethel Census Area,Alaska,United States"
13398,james city county united states,",James City County,Virginia,United States"
13590,"municipio la canada de urdaneta venezuela, bolivarian rep. of",",Municipio La Canada de Urdaneta,Zulia,Venezuela, Bolivarian Rep. of"
13962,city of johannesburg metropolitan municipality south africa,",City of Johannesburg Metropolitan Municipality,Gauteng,South Africa"
13963,ngaka modiri molema district municipality south africa,",Ngaka Modiri Molema District Municipality,North-West,South Africa"
