,lat,lon,name,admin1,admin2,cc,Country,mapped_unit,isInMap
41290,37.24345,-1.85905,Vera,Andalusia,Provincia de Almeria,ES,Spain,"Vera,Provincia de Almeria,Andalusia,Spain",No
41331,39.46975,-0.37739,Valencia,Valencia,Provincia de Valencia,ES,Spain,"Valencia,Provincia de Valencia,Valencia,Spain",No
41364,39.45786,-5.88203,Trujillo,Extremadura,Provincia de Caceres,ES,Spain,"Trujillo,Provincia de Caceres,Extremadura,Spain",No
41381,37.78537,-3.50902,Torres,Andalusia,Provincia de Jaen,ES,Spain,"Torres,Provincia de Jaen,Andalusia,Spain",No
41416,39.8581,-4.02263,Toledo,Castille-La Mancha,Province of Toledo,ES,Spain,"Toledo,Province of Toledo,Castille-La Mancha,Spain",No
41490,39.68333,-0.43333,Serra,Valencia,Provincia de Valencia,ES,Spain,"Serra,Provincia de Valencia,Valencia,Spain",No
41522,38.61421,-6.62799,Santa Marta,Extremadura,Provincia de Badajoz,ES,Spain,"Santa Marta,Provincia de Badajoz,Extremadura,Spain",No
41526,27.91174,-15.54071,Santa Lucia,Canary Islands,Provincia de Las Palmas,ES,Spain,"Santa Lucia,Provincia de Las Palmas,Canary Islands,Spain",No
41530,38.6,-4.9,Santa Eufemia,Andalusia,Province of Cordoba,ES,Spain,"Santa Eufemia,Province of Cordoba,Andalusia,Spain",No
41532,38.34162,-3.53953,Santa Elena,Andalusia,Provincia de Jaen,ES,Spain,"Santa Elena,Provincia de Jaen,Andalusia,Spain",No
41538,39.33635,-5.84561,Santa Cruz de la Sierra,Extremadura,Provincia de Caceres,ES,Spain,"Santa Cruz de la Sierra,Provincia de Caceres,Extremadura,Spain",No
41540,28.03197,-15.50425,Santa Brigida,Canary Islands,Provincia de Las Palmas,ES,Spain,"Santa Brigida,Provincia de Las Palmas,Canary Islands,Spain",No
41544,39.30823,-5.99027,Santa Ana,Extremadura,Provincia de Caceres,ES,Spain,"Santa Ana,Provincia de Caceres,Extremadura,Spain",No
41552,38.82493,-2.18276,San Pedro,Castille-La Mancha,Provincia de Albacete,ES,Spain,"San Pedro,Provincia de Albacete,Castille-La Mancha,Spain",No
41554,27.9891,-15.78126,San Nicolas,Canary Islands,Provincia de Las Palmas,ES,Spain,"San Nicolas,Provincia de Las Palmas,Canary Islands,Spain",No
41556,28.09826,-16.61708,San Miguel,Canary Islands,Provincia de Santa Cruz de Tenerife,ES,Spain,"San Miguel,Provincia de Santa Cruz de Tenerife,Canary Islands,Spain",No
41575,36.76048,-2.10912,San Jose,Andalusia,Provincia de Almeria,ES,Spain,"San Jose,Provincia de Almeria,Andalusia,Spain",No
41577,28.07617,-16.558,San Isidro,Canary Islands,Provincia de Santa Cruz de Tenerife,ES,Spain,"San Isidro,Provincia de Santa Cruz de Tenerife,Canary Islands,Spain",No
41579,36.4759,-6.19817,San Fernando,Andalusia,Provincia de Cadiz,ES,Spain,"San Fernando,Provincia de Cadiz,Andalusia,Spain",No
41582,39.4041,-2.42819,San Clemente,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"San Clemente,Provincia de Cuenca,Castille-La Mancha,Spain",No
41597,38.52025,-0.91202,Salinas,Valencia,Provincia de Alicante,ES,Spain,"Salinas,Provincia de Alicante,Valencia,Spain",No
41629,36.94508,-2.46302,Rioja,Andalusia,Provincia de Almeria,ES,Spain,"Rioja,Provincia de Almeria,Andalusia,Spain",No
41638,39.05252,-5.80868,Rena,Extremadura,Provincia de Badajoz,ES,Spain,"Rena,Provincia de Badajoz,Extremadura,Spain",No
41655,37.84338,-3.06561,Quesada,Andalusia,Provincia de Jaen,ES,Spain,"Quesada,Provincia de Jaen,Andalusia,Spain",No
41657,39.51111,-3.24741,Quero,Castille-La Mancha,Province of Toledo,ES,Spain,"Quero,Province of Toledo,Castille-La Mancha,Spain",No
41708,37.80205,-5.10726,Posadas,Andalusia,Province of Cordoba,ES,Spain,"Posadas,Province of Cordoba,Andalusia,Spain",No
41711,39.81233,-6.47433,Portezuelo,Extremadura,Provincia de Caceres,ES,Spain,"Portezuelo,Provincia de Caceres,Extremadura,Spain",No
41731,38.98176,-0.3387,Pinet,Valencia,Provincia de Valencia,ES,Spain,"Pinet,Provincia de Valencia,Valencia,Spain",No
41779,38.69277,-6.1349,Palomas,Extremadura,Provincia de Badajoz,ES,Spain,"Palomas,Provincia de Badajoz,Extremadura,Spain",No
41800,39.91726,-5.17371,Oropesa,Castille-La Mancha,Province of Toledo,ES,Spain,"Oropesa,Province of Toledo,Castille-La Mancha,Spain",No
41838,38.58629,-6.74901,Nogales,Extremadura,Provincia de Badajoz,ES,Spain,"Nogales,Provincia de Badajoz,Extremadura,Spain",No
41860,39.88333,-0.5,Navajas,Valencia,Provincia de Castello,ES,Spain,"Navajas,Provincia de Castello,Valencia,Spain",No
41874,39.95,-1.36667,Moya,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"Moya,Provincia de Cuenca,Castille-La Mancha,Spain",No
41875,28.10136,-15.58917,Moya,Canary Islands,Provincia de Las Palmas,ES,Spain,"Moya,Provincia de Las Palmas,Canary Islands,Spain",No
41886,39.68492,-3.77394,Mora,Castille-La Mancha,Province of Toledo,ES,Spain,"Mora,Province of Toledo,Castille-La Mancha,Spain",No
41894,38.90839,-6.61785,Montijo,Extremadura,Provincia de Badajoz,ES,Spain,"Montijo,Provincia de Badajoz,Extremadura,Spain",No
41937,38.95036,-0.14007,Miramar,Valencia,Provincia de Valencia,ES,Spain,"Miramar,Provincia de Valencia,Valencia,Spain",No
41938,39.8623,-6.23274,Mirabel,Extremadura,Provincia de Caceres,ES,Spain,"Mirabel,Provincia de Caceres,Extremadura,Spain",No
41939,39.71667,-1.43333,Mira,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"Mira,Provincia de Cuenca,Castille-La Mancha,Spain",No
41940,39.53333,-1.6,Minglanilla,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"Minglanilla,Provincia de Cuenca,Castille-La Mancha,Spain",No
41951,38.91611,-6.34366,Merida,Extremadura,Provincia de Badajoz,ES,Spain,"Merida,Provincia de Badajoz,Extremadura,Spain",No
41961,38.96265,-5.95785,Medellin,Extremadura,Provincia de Badajoz,ES,Spain,"Medellin,Provincia de Badajoz,Extremadura,Spain",No
41978,39.74165,-0.53103,Marines,Valencia,Provincia de Castello,ES,Spain,"Marines,Provincia de Castello,Valencia,Spain",No
41981,37.71023,-2.16454,Maria,Andalusia,Provincia de Almeria,ES,Spain,"Maria,Provincia de Almeria,Andalusia,Spain",No
42002,36.72016,-4.42034,Malaga,Andalusia,Provincia de Malaga,ES,Spain,"Malaga,Provincia de Malaga,Andalusia,Spain",No
42007,39.88853,4.26583,Mao,Balearic Islands,Illes Balears,ES,Spain,"Mao,Illes Balears,Balearic Islands,Spain",No
42009,39.96138,-3.93164,Magan,Castille-La Mancha,Province of Toledo,ES,Spain,"Magan,Province of Toledo,Castille-La Mancha,Spain",No
42026,37.40881,-4.48522,Lucena,Andalusia,Province of Cordoba,ES,Spain,"Lucena,Province of Cordoba,Andalusia,Spain",No
42051,37.16887,-4.15129,Loja,Andalusia,Provincia de Granada,ES,Spain,"Loja,Provincia de Granada,Andalusia,Spain",No
42067,38.09519,-3.63602,Linares,Andalusia,Provincia de Jaen,ES,Spain,"Linares,Provincia de Jaen,Andalusia,Spain",No
42080,37.68126,-4.85199,La Victoria,Andalusia,Province of Cordoba,ES,Spain,"La Victoria,Province of Cordoba,Andalusia,Spain",No
42081,37.61915,-0.87799,La Union,Murcia,Murcia,ES,Spain,"La Union,Murcia,Murcia,Spain",No
42087,39.38871,-2.76524,Las Mesas,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"Las Mesas,Provincia de Cuenca,Castille-La Mancha,Spain",No
42091,38.36753,-0.89862,La Romana,Valencia,Provincia de Alicante,ES,Spain,"La Romana,Provincia de Alicante,Valencia,Spain",No
42120,36.73491,-3.7376,La Herradura,Andalusia,Provincia de Granada,ES,Spain,"La Herradura,Provincia de Granada,Andalusia,Spain",No
42128,39.4046,-5.97635,La Cumbre,Extremadura,Provincia de Caceres,ES,Spain,"La Cumbre,Provincia de Caceres,Extremadura,Spain",No
42133,37.67359,-4.93122,La Carlota,Andalusia,Province of Cordoba,ES,Spain,"La Carlota,Province of Cordoba,Andalusia,Spain",No
42164,37.76922,-3.79028,Jaen,Andalusia,Provincia de Jaen,ES,Spain,"Jaen,Provincia de Jaen,Andalusia,Spain",No
42224,39.98333,-0.5,Higueras,Valencia,Provincia de Castello,ES,Spain,"Higueras,Provincia de Castello,Valencia,Spain",No
42257,39.4508,-5.32588,Guadalupe,Extremadura,Provincia de Caceres,ES,Spain,"Guadalupe,Provincia de Caceres,Extremadura,Spain",No
42269,38.71896,-0.35589,Gorga,Valencia,Provincia de Alicante,ES,Spain,"Gorga,Provincia de Alicante,Valencia,Spain",No
42309,39.61667,-1.93333,Gabaldon,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"Gabaldon,Provincia de Cuenca,Castille-La Mancha,Spain",No
42340,27.75404,-18.00367,Frontera,Canary Islands,Provincia de Santa Cruz de Tenerife,ES,Spain,"Frontera,Provincia de Santa Cruz de Tenerife,Canary Islands,Spain",No
42348,38.1814,-1.1259,Fortuna,Murcia,Murcia,ES,Spain,"Fortuna,Murcia,Murcia,Spain",No
42361,37.17247,-3.03539,Ferreira,Andalusia,Provincia de Granada,ES,Spain,"Ferreira,Provincia de Granada,Andalusia,Spain",No
42366,39.11667,-0.28333,Favara,Valencia,Provincia de Valencia,ES,Spain,"Favara,Provincia de Valencia,Valencia,Spain",No
42414,28.65007,-17.88274,El Paso,Canary Islands,Provincia de Santa Cruz de Tenerife,ES,Spain,"El Paso,Provincia de Santa Cruz de Tenerife,Canary Islands,Spain",No
42426,36.75828,-5.50535,El Bosque,Andalusia,Provincia de Cadiz,ES,Spain,"El Bosque,Provincia de Cadiz,Andalusia,Spain",No
42442,38.14002,-0.77088,Dolores,Valencia,Provincia de Alicante,ES,Spain,"Dolores,Provincia de Alicante,Valencia,Spain",No
42541,38.98333,-0.56667,Cerda,Valencia,Provincia de Valencia,ES,Spain,"Cerda,Provincia de Valencia,Valencia,Spain",No
42608,37.60512,-0.98623,Cartagena,Murcia,Murcia,ES,Spain,"Cartagena,Murcia,Murcia,Spain",No
42618,37.47125,-5.64608,Carmona,Andalusia,Provincia de Sevilla,ES,Spain,"Carmona,Provincia de Sevilla,Andalusia,Spain",No
42646,28.3548,-16.37268,Candelaria,Canary Islands,Provincia de Santa Cruz de Tenerife,ES,Spain,"Candelaria,Provincia de Santa Cruz de Tenerife,Canary Islands,Spain",No
42689,36.52978,-6.29465,Cadiz,Andalusia,Provincia de Cadiz,ES,Spain,"Cadiz,Provincia de Cadiz,Andalusia,Spain",No
42711,39.41667,-0.78333,Bunol,Valencia,Provincia de Valencia,ES,Spain,"Bunol,Provincia de Valencia,Valencia,Spain",No
42814,39.55746,-2.70461,Belmonte,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"Belmonte,Provincia de Cuenca,Castille-La Mancha,Spain",No
42859,38.55,-2.08333,Ayna,Castille-La Mancha,Provincia de Albacete,ES,Spain,"Ayna,Provincia de Albacete,Castille-La Mancha,Spain",No
42864,38.33333,-6.46667,Atalaya,Extremadura,Provincia de Badajoz,ES,Spain,"Atalaya,Provincia de Badajoz,Extremadura,Spain",No
42870,39.69315,3.34979,Arta,Balearic Islands,Illes Balears,ES,Spain,"Arta,Illes Balears,Balearic Islands,Spain",No
42883,37.93493,-4.05478,Arjona,Andalusia,Provincia de Jaen,ES,Spain,"Arjona,Provincia de Jaen,Andalusia,Spain",No
42891,36.81625,-4.04411,Arenas,Andalusia,Provincia de Malaga,ES,Spain,"Arenas,Provincia de Malaga,Andalusia,Spain",No
42903,39.07977,-0.59195,Antella,Valencia,Provincia de Valencia,ES,Spain,"Antella,Provincia de Valencia,Valencia,Spain",No
42907,39.02029,-0.64621,Anna,Valencia,Provincia de Valencia,ES,Spain,"Anna,Provincia de Valencia,Valencia,Spain",No
42938,36.83814,-2.45974,Almeria,Andalusia,Provincia de Almeria,ES,Spain,"Almeria,Provincia de Almeria,Andalusia,Spain",No
42942,39.75,-0.21667,Almenara,Valencia,Provincia de Castello,ES,Spain,"Almenara,Provincia de Castello,Valencia,Spain",No
42962,39.44803,-5.21754,Alia,Extremadura,Provincia de Caceres,ES,Spain,"Alia,Provincia de Caceres,Extremadura,Spain",No
42966,38.89925,-3.05333,Alhambra,Castille-La Mancha,Provincia de Ciudad Real,ES,Spain,"Alhambra,Provincia de Ciudad Real,Castille-La Mancha,Spain",No
42981,36.77388,-4.03952,Algarrobo,Andalusia,Provincia de Malaga,ES,Spain,"Algarrobo,Provincia de Malaga,Andalusia,Spain",No
42998,37.79341,-1.57356,Aledo,Murcia,Murcia,ES,Spain,"Aledo,Murcia,Murcia,Spain",No
43035,39.71895,-6.88375,Alcantara,Extremadura,Provincia de Caceres,ES,Spain,"Alcantara,Provincia de Caceres,Extremadura,Spain",No
43081,37.2087,-4.6586,Alameda,Andalusia,Provincia de Malaga,ES,Spain,"Alameda,Provincia de Malaga,Andalusia,Spain",No
43151,41.50633,-5.74456,Zamora,Castille and Leon,Provincia de Zamora,ES,Spain,"Zamora,Provincia de Zamora,Castille and Leon,Spain",No
43177,41.67525,-4.91748,Wamba,Castille and Leon,Provincia de Valladolid,ES,Spain,"Wamba,Provincia de Valladolid,Castille and Leon,Spain",No
43186,40.81178,-5.00583,Vita,Castille and Leon,Provincia de Avila,ES,Spain,"Vita,Provincia de Avila,Castille and Leon,Spain",No
43464,41.08397,-5.23436,Villaflores,Castille and Leon,Provincia de Salamanca,ES,Spain,"Villaflores,Provincia de Salamanca,Castille and Leon,Spain",No
43481,40.14223,-6.42679,Villa del Campo,Extremadura,Provincia de Caceres,ES,Spain,"Villa del Campo,Provincia de Caceres,Extremadura,Spain",No
43536,42.12285,2.30977,Vidra,Catalonia,Provincia de Girona,ES,Spain,"Vidra,Provincia de Girona,Catalonia,Spain",No
43545,42.51552,-2.37123,Viana,Navarre,Provincia de Navarra,ES,Spain,"Viana,Provincia de Navarra,Navarre,Spain",No
43554,43.28177,-1.68632,Bera,Navarre,Provincia de Navarra,ES,Spain,"Bera,Provincia de Navarra,Navarre,Spain",No
43559,42.40495,-2.62651,Ventosa,La Rioja,Provincia de La Rioja,ES,Spain,"Ventosa,Provincia de La Rioja,La Rioja,Spain",No
43635,42.35604,-5.21088,Vallecillo,Castille and Leon,Provincia de Leon,ES,Spain,"Vallecillo,Provincia de Leon,Castille and Leon,Spain",No
43645,42.69792,-8.63959,Valga,Galicia,Provincia de Pontevedra,ES,Spain,"Valga,Provincia de Pontevedra,Galicia,Spain",No
43754,40.2241,-1.97788,Una,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"Una,Provincia de Cuenca,Castille-La Mancha,Spain",No
43893,40.30253,-2.28546,Torralba,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"Torralba,Provincia de Cuenca,Castille-La Mancha,Spain",No
43895,41.52417,-5.39534,Toro,Castille and Leon,Provincia de Zamora,ES,Spain,"Toro,Provincia de Zamora,Castille and Leon,Spain",No
43938,40.32547,-2.58228,Tinajas,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"Tinajas,Provincia de Cuenca,Castille-La Mancha,Spain",No
44036,42.11236,2.16083,Sora,Catalonia,Provincia de Barcelona,ES,Spain,"Sora,Provincia de Barcelona,Catalonia,Spain",No
44049,43.03882,-8.02784,Sobrado,Galicia,Provincia da Coruna,ES,Spain,"Sobrado,Provincia da Coruna,Galicia,Spain",No
44050,42.51667,-6.85,Sobrado,Castille and Leon,Provincia de Leon,ES,Spain,"Sobrado,Provincia de Leon,Castille and Leon,Spain",No
44110,41.03098,-2.52905,Sauca,Castille-La Mancha,Provincia de Guadalajara,ES,Spain,"Sauca,Provincia de Guadalajara,Castille-La Mancha,Spain",No
44222,43.41621,-5.41128,Santa Eulalia,Asturias,Province of Asturias,ES,Spain,"Santa Eulalia,Province of Asturias,Asturias,Spain",No
44223,40.56742,-1.31354,Santa Eulalia,Aragon,Provincia de Teruel,ES,Spain,"Santa Eulalia,Provincia de Teruel,Aragon,Spain",No
44234,40.2516,-5.00133,Santa Cruz del Valle,Castille and Leon,Provincia de Avila,ES,Spain,"Santa Cruz del Valle,Provincia de Avila,Castille and Leon,Spain",No
44257,42.05225,-3.80345,Santa Cecilia,Castille and Leon,Provincia de Burgos,ES,Spain,"Santa Cecilia,Provincia de Burgos,Castille and Leon,Spain",No
44259,40.71542,0.49292,Santa Barbara,Catalonia,Provincia de Tarragona,ES,Spain,"Santa Barbara,Provincia de Tarragona,Catalonia,Spain",No
44262,43.31283,-1.97499,San Sebastian,Basque Country,Provincia de Guipuzcoa,ES,Spain,"San Sebastian,Provincia de Guipuzcoa,Basque Country,Spain",No
44264,41.6206,-5.08713,San Salvador,Castille and Leon,Provincia de Valladolid,ES,Spain,"San Salvador,Provincia de Valladolid,Castille and Leon,Spain",No
44274,41.68033,-5.03403,San Pelayo,Castille and Leon,Provincia de Valladolid,ES,Spain,"San Pelayo,Provincia de Valladolid,Castille and Leon,Spain",No
44289,40.88141,-4.75612,San Pascual,Castille and Leon,Provincia de Avila,ES,Spain,"San Pascual,Provincia de Avila,Castille and Leon,Spain",No
44335,42.13321,-6.62388,San Justo,Castille and Leon,Provincia de Zamora,ES,Spain,"San Justo,Provincia de Zamora,Castille and Leon,Spain",No
44349,40.90182,-4.00685,San Ildefonso,Castille and Leon,Provincia de Segovia,ES,Spain,"San Ildefonso,Provincia de Segovia,Castille and Leon,Spain",No
44412,40.05,-0.68333,San Agustin,Aragon,Provincia de Teruel,ES,Spain,"San Agustin,Provincia de Teruel,Aragon,Spain",No
44421,42.731,-7.32582,Samos,Galicia,Provincia de Lugo,ES,Spain,"Samos,Provincia de Lugo,Galicia,Spain",No
44424,42.56854,-2.67974,Samaniego,Basque Country,Provincia de Alava,ES,Spain,"Samaniego,Provincia de Alava,Basque Country,Spain",No
44428,42.85162,-2.39123,Salvatierra,Basque Country,Provincia de Alava,ES,Spain,"Salvatierra,Provincia de Alava,Basque Country,Spain",No
44462,40.96882,-5.66388,Salamanca,Castille and Leon,Provincia de Salamanca,ES,Spain,"Salamanca,Provincia de Salamanca,Castille and Leon,Spain",No
44564,42.97705,-5.00352,Riano,Castille and Leon,Provincia de Leon,ES,Spain,"Riano,Provincia de Leon,Castille and Leon,Spain",No
44631,42.47678,-7.27463,Quiroga,Galicia,Provincia de Lugo,ES,Spain,"Quiroga,Provincia de Lugo,Galicia,Spain",No
44678,40.288,-5.62366,Puerto Castilla,Castille and Leon,Provincia de Avila,ES,Spain,"Puerto Castilla,Provincia de Avila,Castille and Leon,Spain",No
44715,41.92077,-5.42027,Prado,Castille and Leon,Provincia de Zamora,ES,Spain,"Prado,Provincia de Zamora,Castille and Leon,Spain",No
44718,41.30983,0.98866,Prades,Catalonia,Provincia de Tarragona,ES,Spain,"Prades,Provincia de Tarragona,Catalonia,Spain",No
44756,42.16737,-6.89934,Porto,Castille and Leon,Provincia de Zamora,ES,Spain,"Porto,Provincia de Zamora,Castille and Leon,Spain",No
44815,42.19951,-2.59709,Pinillos,La Rioja,Provincia de La Rioja,ES,Spain,"Pinillos,Provincia de La Rioja,La Rioja,Spain",No
44842,42.08333,-7.0,Pias,Castille and Leon,Provincia de Zamora,ES,Spain,"Pias,Provincia de Zamora,Castille and Leon,Spain",No
44860,42.33834,-1.80035,Peralta,Navarre,Provincia de Navarra,ES,Spain,"Peralta,Provincia de Navarra,Navarre,Spain",No
44864,42.19398,-4.58105,Perales,Castille and Leon,Provincia de Palencia,ES,Spain,"Perales,Provincia de Palencia,Castille and Leon,Spain",No
44871,42.07297,-6.27489,Peque,Castille and Leon,Provincia de Zamora,ES,Spain,"Peque,Provincia de Zamora,Castille and Leon,Spain",No
44885,41.60165,-4.11418,Penafiel,Castille and Leon,Provincia de Valladolid,ES,Spain,"Penafiel,Provincia de Valladolid,Castille and Leon,Spain",No
44896,42.29959,-2.71889,Pedroso,La Rioja,Provincia de La Rioja,ES,Spain,"Pedroso,Provincia de La Rioja,La Rioja,Spain",No
44910,41.13092,-3.81116,Pedraza,Castille and Leon,Provincia de Segovia,ES,Spain,"Pedraza,Provincia de Segovia,Castille and Leon,Spain",No
44914,42.31607,3.11621,Pau,Catalonia,Provincia de Girona,ES,Spain,"Pau,Provincia de Girona,Catalonia,Spain",No
44916,40.41902,-2.92256,Pastrana,Castille-La Mancha,Provincia de Guadalajara,ES,Spain,"Pastrana,Provincia de Guadalajara,Castille-La Mancha,Spain",No
44917,40.51508,-6.51018,Pastores,Castille and Leon,Provincia de Salamanca,ES,Spain,"Pastores,Provincia de Salamanca,Castille and Leon,Spain",No
44928,40.06578,-2.854,Paredes,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"Paredes,Provincia de Cuenca,Castille-La Mancha,Spain",No
44954,42.3227,0.24376,Palo,Aragon,Provincia de Huesca,ES,Spain,"Palo,Provincia de Huesca,Aragon,Spain",No
44989,43.28567,-8.17415,Paderne,Galicia,Provincia da Coruna,ES,Spain,"Paderne,Provincia da Coruna,Galicia,Spain",No
45056,41.28706,-4.68878,Olmedo,Castille and Leon,Provincia de Valladolid,ES,Spain,"Olmedo,Provincia de Valladolid,Castille and Leon,Spain",No
45084,40.88417,-1.56792,Odon,Aragon,Provincia de Teruel,ES,Spain,"Odon,Provincia de Teruel,Aragon,Spain",No
45104,41.95,-1.7,Novallas,Aragon,Provincia de Zaragoza,ES,Spain,"Novallas,Provincia de Zaragoza,Aragon,Spain",No
45110,41.52721,-2.35061,Nolay,Castille and Leon,Provincia de Soria,ES,Spain,"Nolay,Provincia de Soria,Castille and Leon,Spain",No
45143,42.43068,-2.56466,Navarrete,La Rioja,Provincia de La Rioja,ES,Spain,"Navarrete,Provincia de La Rioja,La Rioja,Spain",No
45171,42.19503,0.15183,Naval,Aragon,Provincia de Huesca,ES,Spain,"Naval,Provincia de Huesca,Aragon,Spain",No
45189,43.3581,-5.51064,Nava,Asturias,Province of Asturias,ES,Spain,"Nava,Province of Asturias,Asturias,Spain",No
45218,41.69943,1.97612,Mura,Catalonia,Provincia de Barcelona,ES,Spain,"Mura,Provincia de Barcelona,Catalonia,Spain",No
45259,41.47326,-1.56491,Mores,Aragon,Provincia de Zaragoza,ES,Spain,"Mores,Provincia de Zaragoza,Aragon,Spain",No
45296,42.58469,-3.77724,Montorio,Castille and Leon,Provincia de Burgos,ES,Spain,"Montorio,Provincia de Burgos,Castille and Leon,Spain",No
45320,41.96667,-1.68333,Monteagudo,Navarre,Provincia de Navarra,ES,Spain,"Monteagudo,Provincia de Navarra,Navarre,Spain",No
45333,42.70421,-1.50785,Monreal,Navarre,Provincia de Navarra,ES,Spain,"Monreal,Provincia de Navarra,Navarre,Spain",No
45365,40.821,-0.45017,Molinos,Aragon,Provincia de Teruel,ES,Spain,"Molinos,Provincia de Teruel,Aragon,Spain",No
45377,42.28333,-8.75,Moana,Galicia,Provincia de Pontevedra,ES,Spain,"Moana,Provincia de Pontevedra,Galicia,Spain",No
45392,43.35,-8.2,Mino,Galicia,Provincia da Coruna,ES,Spain,"Mino,Provincia da Coruna,Galicia,Spain",No
45397,41.575,-3.69907,Milagros,Castille and Leon,Provincia de Burgos,ES,Spain,"Milagros,Provincia de Burgos,Castille and Leon,Spain",No
45398,42.2416,-1.76588,Milagro,Navarre,Provincia de Navarra,ES,Spain,"Milagro,Provincia de Navarra,Navarre,Spain",No
45426,42.91382,-8.01496,Melide,Galicia,Provincia da Coruna,ES,Spain,"Melide,Provincia da Coruna,Galicia,Spain",No
45450,42.44661,-8.78122,Meano,Galicia,Provincia de Pontevedra,ES,Spain,"Meano,Provincia de Pontevedra,Galicia,Spain",No
45458,42.16687,-5.26304,Mayorga,Castille and Leon,Provincia de Valladolid,ES,Spain,"Mayorga,Provincia de Valladolid,Castille and Leon,Spain",No
45498,40.63046,-5.34801,Martinez,Castille and Leon,Provincia de Avila,ES,Spain,"Martinez,Provincia de Avila,Castille and Leon,Spain",No
45506,42.38333,-8.7,Marin,Galicia,Provincia de Pontevedra,ES,Spain,"Marin,Provincia de Pontevedra,Galicia,Spain",No
45507,40.16717,-2.14601,Mariana,Castille-La Mancha,Provincia de Cuenca,ES,Spain,"Mariana,Provincia de Cuenca,Castille-La Mancha,Spain",No
45519,43.04991,-5.17726,Marana,Castille and Leon,Provincia de Leon,ES,Spain,"Marana,Provincia de Leon,Castille and Leon,Spain",No
45520,41.2895,-1.51842,Mara,Aragon,Provincia de Zaragoza,ES,Spain,"Mara,Provincia de Zaragoza,Aragon,Spain",No
45522,41.58617,-4.18826,Manzanillo,Castille and Leon,Provincia de Valladolid,ES,Spain,"Manzanillo,Provincia de Valladolid,Castille and Leon,Spain",No
45590,41.02691,-2.27691,Luzon,Castille-La Mancha,Provincia de Guadalajara,ES,Spain,"Luzon,Provincia de Guadalajara,Castille-La Mancha,Spain",No
45595,42.1676,-0.93292,Luna,Aragon,Provincia de Zaragoza,ES,Spain,"Luna,Provincia de Zaragoza,Aragon,Spain",No
45620,42.57076,-2.19275,Los Arcos,Navarre,Provincia de Navarra,ES,Spain,"Los Arcos,Provincia de Navarra,Navarre,Spain",No
45675,42.02609,-3.75978,Lerma,Castille and Leon,Provincia de Burgos,ES,Spain,"Lerma,Provincia de Burgos,Castille and Leon,Spain",No
45680,42.60003,-5.57032,Leon,Castille and Leon,Provincia de Leon,ES,Spain,"Leon,Provincia de Leon,Castille and Leon,Spain",No
45683,42.50281,-3.04701,Leiva,La Rioja,Provincia de La Rioja,ES,Spain,"Leiva,Provincia de La Rioja,La Rioja,Spain",No
45689,40.32718,-3.7635,Leganes,Madrid,Provincia de Madrid,ES,Spain,"Leganes,Provincia de Madrid,Madrid,Spain",No
45703,42.06136,-7.462,Laza,Galicia,Provincia de Ourense,ES,Spain,"Laza,Provincia de Ourense,Galicia,Spain",No
45717,41.21484,1.13883,La Selva,Catalonia,Provincia de Tarragona,ES,Spain,"La Selva,Provincia de Tarragona,Catalonia,Spain",No
45730,43.4098,-3.41613,Laredo,Cantabria,Provincia de Cantabria,ES,Spain,"Laredo,Provincia de Cantabria,Cantabria,Spain",No
45744,43.0,-1.61667,Lantz,Navarre,Provincia de Navarra,ES,Spain,"Lantz,Provincia de Navarra,Navarre,Spain",No
45763,43.38524,-4.01642,Polanco,Cantabria,Provincia de Cantabria,ES,Spain,"Polanco,Provincia de Cantabria,Cantabria,Spain",No
45765,40.32491,-5.97132,Lagunilla,Castille and Leon,Provincia de Salamanca,ES,Spain,"Lagunilla,Provincia de Salamanca,Castille and Leon,Spain",No
45821,42.59119,-1.20884,Javier,Navarre,Provincia de Navarra,ES,Spain,"Javier,Provincia de Navarra,Navarre,Spain",No
45871,42.29807,-3.98932,Iglesias,Castille and Leon,Provincia de Burgos,ES,Spain,"Iglesias,Provincia de Burgos,Castille and Leon,Spain",No
45883,43.13127,-2.06487,Ibarra,Basque Country,Provincia de Guipuzcoa,ES,Spain,"Ibarra,Provincia de Guipuzcoa,Basque Country,Spain",No
45947,40.82149,-3.0454,Hita,Castille-La Mancha,Provincia de Guadalajara,ES,Spain,"Hita,Provincia de Guadalajara,Castille-La Mancha,Spain",No
46011,40.62862,-3.16185,Guadalajara,Castille-La Mancha,Provincia de Guadalajara,ES,Spain,"Guadalajara,Provincia de Guadalajara,Castille-La Mancha,Spain",No
46043,42.85167,-1.90358,Goni,Navarre,Provincia de Navarra,ES,Spain,"Goni,Provincia de Navarra,Navarre,Spain",No
46044,42.11155,-8.74971,Gondomar,Galicia,Provincia de Pontevedra,ES,Spain,"Gondomar,Provincia de Pontevedra,Galicia,Spain",No
