,name,mapped_data
250,bolivia,",,,Bolivia"
251,brazil,",,,Brazil"
252,bahamas,",,,Bahamas"
253,bhutan,",,,Bhutan"
254,botswana,",,,Botswana"
255,belarus,",,,Belarus"
256,belize,",,,Belize"
257,canada,",,,Canada"
258,"congo, democratic republic of the",",,,Congo, Democratic Republic of the"
259,central african republic,",,,Central African Republic"
260,congo,",,,Congo"
261,switzerland,",,,Switzerland"
262,côte d'ivoire,",,,Côte d'Ivoire"
263,cook islands,",,,Cook Islands"
264,chile,",,,Chile"
265,cameroon,",,,Cameroon"
266,china,",,,China"
267,colombia,",,,Colombia"
268,costa rica,",,,Costa Rica"
269,cuba,",,,Cuba"
270,cape verde,",,,Cape Verde"
271,cyprus,",,,Cyprus"
272,czech republic,",,,Czech Republic"
273,germany,",,,Germany"
274,djibouti,",,,Djibouti"
275,denmark,",,,Denmark"
276,dominica,",,,Dominica"
277,dominican republic,",,,Dominican Republic"
278,algeria,",,,Algeria"
279,ecuador,",,,Ecuador"
280,estonia,",,,Estonia"
281,egypt,",,,Egypt"
282,western sahara,",,,Western Sahara"
283,eritrea,",,,Eritrea"
284,spain,",,,Spain"
285,ethiopia,",,,Ethiopia"
286,finland,",,,Finland"
287,fiji,",,,Fiji"
288,faeroe islands,",,,Faeroe Islands"
289,france,",,,France"
290,gabon,",,,Gabon"
291,united kingdom,",,,United Kingdom"
292,grenada,",,,Grenada"
293,georgia,",,,Georgia"
294,french guiana,",,,French Guiana"
295,guernsey,",,,Guernsey"
296,ghana,",,,Ghana"
297,gibraltar,",,,Gibraltar"
298,greenland,",,,Greenland"
299,gambia,",,,Gambia"
300,guinea,",,,Guinea"
301,guadeloupe,",,,Guadeloupe"
302,equatorial guinea,",,,Equatorial Guinea"
303,greece,",,,Greece"
304,guatemala,",,,Guatemala"
305,guam,",,,Guam"
306,guinea-bissau,",,,Guinea-Bissau"
307,guyana,",,,Guyana"
308,"hong kong, china",",,,Hong Kong, China"
309,honduras,",,,Honduras"
