,name,mapped_data
187,Shaki City,",,Shaki City,Azerbaijan"
188,Samux,",,Samux,Azerbaijan"
189,Sabirabad,",,Sabirabad,Azerbaijan"
190,Quba,",,Quba,Azerbaijan"
191,Haciqabul,",,Haciqabul,Azerbaijan"
192,Qazax,",,Qazax,Azerbaijan"
193,Qakh Rayon,",,Qakh Rayon,Azerbaijan"
194,Qabala Rayon,",,Qabala Rayon,Azerbaijan"
195,Oguz,",,Oguz,Azerbaijan"
196,Gadabay Rayon,",,Gadabay Rayon,Azerbaijan"
197,Naftalan,",,Naftalan,Azerbaijan"
198,Mingacevir City,",,Mingacevir City,Azerbaijan"
199,Qobustan,",,Qobustan,Azerbaijan"
200,Goranboy,",,Goranboy,Azerbaijan"
201,Kurdamir Rayon,",,Kurdamir Rayon,Azerbaijan"
202,Yevlax,",,Yevlax,Azerbaijan"
203,Kalbacar Rayonu,",,Kalbacar Rayonu,Azerbaijan"
204,Ismayilli,",,Ismayilli,Azerbaijan"
205,Goeycay,",,Goeycay,Azerbaijan"
206,Ganja City,",,Ganja City,Azerbaijan"
207,Shabran,",,Shabran,Azerbaijan"
208,Shaki Rayon,",,Shaki Rayon,Azerbaijan"
209,Barda Rayon,",,Barda Rayon,Azerbaijan"
210,Balakan Rayon,",,Balakan Rayon,Azerbaijan"
211,Agsu,",,Agsu,Azerbaijan"
212,Agdas,",,Agdas,Azerbaijan"
213,Republika Srpska,",,Republika Srpska,Bosnia and Herzegovina"
214,Federation of Bosnia and Herzegovina,",,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina"
215,Brcko,",,Brcko,Bosnia and Herzegovina"
216,Saint Thomas,",,Saint Thomas,Barbados"
217,Saint Philip,",,Saint Philip,Barbados"
218,Christ Church,",,Christ Church,Barbados"
219,Saint James,",,Saint James,Barbados"
220,Saint Andrew,",,Saint Andrew,Barbados"
221,Saint Lucy,",,Saint Lucy,Barbados"
222,Saint Michael,",,Saint Michael,Barbados"
223,Saint Joseph,",,Saint Joseph,Barbados"
224,Rangpur Division,",,Rangpur Division,Bangladesh"
225,Chittagong,",,Chittagong,Bangladesh"
226,Dhaka,",,Dhaka,Bangladesh"
